Data Medicao;EVAPORACAO DO PICHE(mm);INSOLACAO TOTAL(h);PRECIPITACAO TOTAL(mm);TEMPERATURA MAXIMA(°C);TEMPERATURA MEDIA COMPENSADA(°C);TEMPERATURA MINIMA(°C);UMIDADE RELATIVA DO AR MEDIA (%);UMIDADE RELATIVA DO AR MINIMA (%);VENTO VELOCIDADE MEDIA (m/s)
21/10/2006;2;0;0;20;16,88;15,6;90,5;87;1,88628
22/10/2006;2;5,4;0,3;24,4;18,04;14;80;59;2,5722
23/10/2006;3,5;2,8;2,2;22,4;18,08;13,6;77;65;1,88628
24/10/2006;5,8;9,9;0;26,2;20,78;15,1;62;47;3,25812
25/10/2006;6,7;11,3;0;30,4;22,78;15,1;61;40;1,02888
26/10/2006;5,7;11,8;0;33,6;25,2;16,6;54,25;32;2,22924
27/10/2006;7,9;2,9;0;27,2;21,36;20,6;83;60;2,5722
28/10/2006;7,2;11,1;0;32,4;22,04;17,6;62;25;3,60108
29/10/2006;11,6;11,8;0;28,8;21,26;15,1;65,5;40;2,74368
30/10/2006;6,7;10,9;0;32,2;23,16;18;66,25;39;1,88628
31/10/2006;7;8,1;0;33,4;23,92;18,2;76,5;53;1,88628
01/11/2006;4,8;3,3;8,5;31,2;23,88;20;82,75;54;1,20036
02/11/2006;4;0,7;23,1;25,2;22,68;20,6;92,75;85;1,54332
03/11/2006;0,8;4,3;51,8;29,4;23,4;20,4;81;53;1,54332
04/11/2006;3,4;4,8;0,2;28,4;23,34;21,5;70,75;59;2,74368
05/11/2006;6,4;9,1;0;27,6;21,76;18;69,5;43;3,08664
06/11/2006;7;5,8;0;30,8;24,36;18;73;54;0,68592
07/11/2006;5,8;5,4;0;29,4;23,6;21;69,5;54;7,20216
08/11/2006;9,9;0;0;23,2;19;18,6;82;68;1,02888
09/11/2006;3,5;0,1;0,3;22,4;18,4;15,6;78;63;1,54332
10/11/2006;3,5;0;7,2;17,5;15,46;15,2;97,25;87;0
11/11/2006;0,8;0,4;12,2;18,6;15,56;12;91,5;87;1,20036
12/11/2006;1,4;2,1;3,3;22,4;17,56;12,6;75,25;53;1,02888
13/11/2006;3,8;4,2;0,5;24,4;19,4;16,4;80,75;74;1,54332
14/11/2006;3,5;0,8;9,8;23,4;19,44;17;89,25;67;1,37184
15/11/2006;1,8;8;3,8;29,2;21,96;18,6;82,5;52;0,51444
16/11/2006;3,7;7,4;5,9;30,6;24,04;19,8;74,25;52;1,54332
17/11/2006;4,6;10,3;0;33,4;26,32;18,6;59,75;47;1,54332
18/11/2006;6,5;6,2;0;32,8;25,12;20;76,75;53;0
19/11/2006;4,7;6,5;0,3;31,2;24,98;21,5;79,75;57;2,40072
20/11/2006;3,8;5,7;38,8;32;23,28;20;85;59;1,20036
21/11/2006;4;2,9;42,8;27,2;22,04;19,6;80,25;69;3,94404
22/11/2006;4,5;8,3;0;30;23,18;19,5;72,25;52;1,02888
23/11/2006;5;7,5;0;30,2;23,48;20;73,25;50;1,37184
24/11/2006;5,4;8,3;0;32,2;25,44;20;72,75;62;2,05776
25/11/2006;4,6;8,9;2,3;33,8;26,16;20,4;62,75;40;0,68592
26/11/2006;5,5;0,7;25,6;28,6;23,84;20,6;86,75;69;0,51444
27/11/2006;1,7;1,6;1,5;29,2;23,92;22,6;90;82;2,05776
28/11/2006;2;7,7;4;32,4;25,24;21,4;79,5;50;0,68592
29/11/2006;4;2,3;19,4;30,4;24,16;21,6;87,25;60;1,54332
30/11/2006;2,3;0,3;9,6;27,8;23,24;22,2;95,25;92;1,37184
01/12/2006;1,9;2,7;4;25;21,84;20;78,75;72;2,22924
02/12/2006;3,1;2,1;1,7;26,6;22,36;18;74,5;56;2,40072
03/12/2006;4,7;7,2;0;31,4;24,6;19,8;68,25;50;0,51444
04/12/2006;5,2;7,4;0;32,6;24;19,2;85,5;71;0,8574
05/12/2006;3,3;0;22,8;27;23,24;21;88,25;73;0
06/12/2006;1,7;5,6;0,2;32;25;21,6;79,5;47;0,51444
07/12/2006;4,5;3,6;0;29,6;23,88;21;75;60;2,5722
08/12/2006;4,5;6,7;0;29,2;23,08;19,6;76;57;3,4296
09/12/2006;5,4;0;0;27,2;22,76;19,8;85,25;83;1,02888
10/12/2006;2,1;1;2,5;27,4;22,76;20,2;88;84;1,54332
11/12/2006;3,5;0;0;24,4;21,12;20;91,25;82;2,74368
12/12/2006;2,8;0,9;4,5;27;21,88;17,8;80,75;65;2,22924
13/12/2006;4;4,1;0,7;30;24,44;20;74,25;52;2,05776
14/12/2006;5,2;1,5;2,7;29,8;24,32;22;93,75;83;0,68592
15/12/2006;2,5;0,8;8,4;29,8;23,48;22;91;75;1,20036
16/12/2006;2,1;9,7;87,7;31,8;25,28;20,6;72;51;1,7148
17/12/2006;5,4;8,7;0;32,2;26;20,6;68,75;47;1,7148
18/12/2006;6;11,5;0;33,6;25,6;21,2;63,5;42;0,51444
19/12/2006;7;10,1;0;34,2;26,24;20;65;41;1,54332
20/12/2006;6,7;10,2;0;34,4;25,88;21;71;39;1,20036
21/12/2006;6,4;7;1,5;34,4;26,22;21,5;72,75;42;0,51444
22/12/2006;5,1;1,8;1;30,2;25,12;22;85;76;1,88628
23/12/2006;3,4;0;0,1;27,2;23,44;22,8;92,5;87;0,51444
24/12/2006;1,4;4,5;39;32,2;24,96;21;83,25;54;0
25/12/2006;2,8;3,1;11,6;32,6;25,6;22;75,75;49;0
26/12/2006;3,6;2,2;0,3;31,2;23,88;20,8;90,5;84;2,5722
27/12/2006;2,4;3,4;6,2;30,2;23,16;20,6;86,75;62;1,54332
28/12/2006;3,2;0,7;12,3;28,4;23,28;20,8;93,75;87;3,25812
29/12/2006;1,7;0,7;23,8;26,4;22,84;21;93,25;89;1,54332
30/12/2006;2,8;0;4,7;25,4;22,88;20,2;82,25;75;0,8574
31/12/2006;1,9;0;4,1;23,4;20,88;21;96;88;3,60108
01/01/2007;1,2;0;30,5;22,2;20,2;18,6;null;96;2,4361
02/01/2007;0,6;0;15,4;24,2;21,64;19,6;null;97;2,3
03/01/2007;0,7;0;29,6;24,4;21,16;20,2;null;95;1,54332
04/01/2007;0,9;0,1;27,4;25,6;22,48;19,6;null;89;0
05/01/2007;1,1;0;12,7;25,4;22,96;21,6;null;87;0
06/01/2007;1,3;0,1;2,7;27,2;23,8;21;null;89;0
07/01/2007;1,8;7,2;0;31,4;25,36;22;null;69;1,8
08/01/2007;4,1;0,3;0;29;24,12;20,6;null;82;1
09/01/2007;1,9;2,1;8,4;29,4;23,64;21,4;null;94;2,31498
10/01/2007;1,9;0,5;2,8;27,4;23,32;20,8;null;91;1,15
11/01/2007;2,2;6;0;31;23,96;19,8;null;86;1,8
12/01/2007;3,4;9,6;0;35;27;21;null;80;0
13/01/2007;5,4;0,4;0,7;29,4;24,04;22,8;null;68;0,8
14/01/2007;2;0;53,8;25;22,12;21;null;95;0
15/01/2007;1,2;0,7;2;26,2;20,78;18,5;null;82;1,15
16/01/2007;2,3;0;5,1;25,6;20,28;18;null;84;1
17/01/2007;2;0;10,5;25;21,48;18;null;96;1,25
18/01/2007;1,1;0,8;18,8;27,6;23,04;20;null;96;0,65
19/01/2007;1,4;9,7;3,6;34;26,16;19,4;null;76;0,8
20/01/2007;5,9;3,3;0;33,2;26,36;21;null;69;0
21/01/2007;3,7;1,7;0;32;24,52;22,6;null;84;0
22/01/2007;2,1;0;89,8;23,4;21,2;20,6;null;95;0,8
23/01/2007;0,9;1;11,5;25,4;21,78;19,5;null;89;1,25
24/01/2007;2,7;1,5;0;26,6;22,36;20,2;null;87;1,02888
25/01/2007;2,5;7,2;7,7;32,6;24,8;21;null;80;0
26/01/2007;4,6;4,4;44,8;33,2;25,58;21,5;null;92;0
27/01/2007;4,2;5,3;1,8;33,2;25,68;22,6;null;86;0,77166
28/01/2007;3,5;5,7;5,9;32,8;25,24;22,8;null;89;0
29/01/2007;4,1;1,7;33,6;31,2;25,96;22,6;null;92;0
30/01/2007;3,7;1;0,6;28,2;24,48;22,6;null;82;1,02888
31/01/2007;2,2;7,7;8;30,4;24,84;21,6;null;76;2,31498
01/02/2007;5,7;9,2;0;32,6;25,92;22;73,25;51;2,5722
02/02/2007;5,2;2,8;1;30,2;24,08;22,6;90,75;83;1,7148
03/02/2007;2,8;7,6;22,7;30;24;20;77,25;62;1,88628
04/02/2007;4,2;4,8;0;29,6;23,96;20;77,25;61;1,54332
05/02/2007;4,1;5,5;0;32,6;24,44;20;83,75;69;1,02888
06/02/2007;2,7;1;1,4;28;24,26;21,5;88,5;80;1,7148
07/02/2007;1,9;3,7;5,2;32,6;25,02;21,5;81;56;1,02888
08/02/2007;2,3;1,4;0,5;30,2;24,58;22,5;85,25;62;0,51444
09/02/2007;2,8;11,9;37,7;33,4;26,28;21,6;65;35;1,20036
10/02/2007;7,5;11,9;0;33,6;26,44;19,4;61;37;0,51444
11/02/2007;5,5;3,7;0;31,6;24;21;92;67;5,1444
12/02/2007;0;0;51,8;24,2;20,64;19,8;88,5;81;0,68592
13/02/2007;2,6;9,2;2,2;27,8;22;17;68,5;46;1,37184
14/02/2007;5,7;8,3;0;28,4;22,2;18;75,75;54;1,54332
15/02/2007;4,6;6,2;0,5;28,6;22,96;19,2;81;58;1,02888
16/02/2007;2,9;8,3;5,3;31,8;24,68;20;75;51;1,7148
17/02/2007;4,5;11,3;0;34,4;26,32;20;69,75;39;0,51444
18/02/2007;5,3;7,8;0;34,6;25,88;21;72,25;40;0
19/02/2007;5,8;4,2;0;30,6;25,68;21,8;80,25;63;1,54332
20/02/2007;3,7;4,6;1,9;31,6;26,44;21,8;75;59;1,02888
21/02/2007;5;10,4;0;33,4;26,56;21,6;65,25;41;0,51444
22/02/2007;6,7;10,3;0;32,4;25,52;19,8;63,25;41;1,02888
23/02/2007;6;11,7;0;33,2;25,1;18,5;65,25;42;0,68592
24/02/2007;6,5;11,8;0;34,2;25,32;18;64,25;31;0,51444
25/02/2007;6,2;9,3;0;33,2;23,84;19;80,75;58;2,05776
26/02/2007;4,3;4,9;3,3;30,8;23,08;19,2;90,75;84;0,68592
27/02/2007;2,5;7,6;6,3;32,6;25,76;20,6;72;45;1,88628
28/02/2007;6,5;9,6;0;33,4;25,36;20;62,25;35;1,54332
01/03/2007;9,5;10,8;0;33;25,8;19;55;35;2,333333
02/03/2007;8,7;9;0;33,2;25,56;18;61,5;40;1,281107
03/03/2007;5,8;11,3;0;33,2;25,72;19,4;60;39;1,2
04/03/2007;8;10,9;0;32,4;25,44;20;58,5;35;2,3
05/03/2007;7,5;11,3;0;33,4;25,74;18,5;55,75;33;1,2
06/03/2007;7,2;11,3;0;34,2;26,64;19;54,5;30;0,7
07/03/2007;9;11;0;35,2;26,72;20,6;60,25;30;1,766667
08/03/2007;7,5;10,9;0;34;26;20;58,25;33;0,833333
09/03/2007;7,3;11;0;35,4;26,3;18,5;54,75;29;1
10/03/2007;7,5;11;0;36,2;26;19;53,5;25;0,8574
11/03/2007;8,5;11;0;35,4;26;18;58;32;1,966667
12/03/2007;8;10,8;0;35,2;26,28;18,8;57;27;1,533333
13/03/2007;9,4;10,1;0;34,8;26,24;19,6;60;31;1,433333
14/03/2007;8,1;6,1;0;33,6;24,54;19,5;72,75;42;0,433333
15/03/2007;4,5;10;2,4;34,6;25,68;19,4;65,75;36;1,20036
16/03/2007;7;7,8;0;35,4;25;20;74,75;41;1
17/03/2007;5,8;1,2;18,6;28;23,16;20,8;85;59;0
18/03/2007;2;1,1;9,5;28,4;23,8;21,4;87,25;67;1,1
19/03/2007;1,9;0,2;7,6;28,6;23,88;21,8;84,75;54;0,833333
20/03/2007;1,9;0,2;0,8;27,4;23,48;21,4;90;71;1,066667
21/03/2007;1,9;6,2;4,3;31,4;23,36;20;81,75;48;1,2
22/03/2007;4,8;1,3;4,5;27,6;22,12;19;89;66;1,533333
23/03/2007;1,9;1,9;3,6;28,8;23,44;19,8;87,5;78;1,390733
24/03/2007;1,8;5,1;0,1;32;23,68;20,6;87;57;0,8574
25/03/2007;4;9,8;68;32;24,12;19;71;35;0,766667
26/03/2007;6,5;8,5;0;31,8;24,24;18,8;78,25;51;0,433333
27/03/2007;4,5;8,7;0;32,8;26,32;22,2;72,75;46;1,390733
28/03/2007;5,2;8,9;0;33,4;26,48;21,4;67,25;38;0,533333
29/03/2007;5,2;9,9;0;33,2;25,74;20,5;72,75;40;1,866667
30/03/2007;6,6;10,5;0;33;25,48;19,8;65;37;2,3
31/03/2007;6,8;7,6;0;32,8;25,32;19,6;70,75;44;0
01/04/2007;4,4;10;0;33,4;25,32;19;67,25;35;1,3
02/04/2007;6,3;10,3;0;33,2;25,36;19,8;67,5;38;1,2
03/04/2007;6;8;0;33,2;25,44;20;70,75;41;1,51444
04/04/2007;5,8;7,4;0;33,4;24,5;20,5;80,5;57;2,2
05/04/2007;4;3,6;1;30,2;23,74;21,5;86;62;1,3
06/04/2007;3;1,7;18;25,6;22,32;20,4;76,5;67;1,2
07/04/2007;3,2;2,2;0;27,2;23,4;20;78,25;66;0
08/04/2007;3;2,3;0;28,6;23,16;21;86,25;65;0,666667
09/04/2007;2;7,3;7,8;29,6;22,88;19,8;90;84;0,6
10/04/2007;3;3,9;4;27,2;22,6;19,8;79,75;62;1,390733
11/04/2007;4,4;9,7;0;29,6;24,04;19,8;75,5;51;1,733693
12/04/2007;5,1;9,4;0;30,6;24,12;18,6;70,25;53;1
13/04/2007;4,1;8,7;0;30,6;23,8;18,4;73,5;40;0,766667
14/04/2007;4,9;8,2;0;30,4;22,84;17,8;77,5;43;1,624067
15/04/2007;4,2;9,3;8,9;31;24,02;18,7;71,5;44;0,8574
16/04/2007;5;7,7;0,5;31,2;23,48;18,8;76;55;0,666667
17/04/2007;4,5;7,1;0;28,8;22,72;18,8;76;52;0,8574
18/04/2007;3,5;7,9;19,8;29;22,8;19;78,5;51;1,02888
19/04/2007;4,6;9,2;0;29,2;23,68;20,4;72,5;49;2,533333
20/04/2007;4,8;6,8;0;29;24,04;21;73,25;48;1,2
21/04/2007;4,6;1,3;0;28;22,96;20,6;84,5;59;0,866667
22/04/2007;2,5;4,8;0,5;30,4;23,28;20;85,75;61;0,533333
23/04/2007;2,5;7,5;43,2;29,8;23,36;19,6;80,25;58;0,433333
24/04/2007;3;8,9;0;31,2;23,96;19;80,25;55;0,666667
25/04/2007;3,2;9,8;0;32,6;24,72;19,6;74,5;44;0,533333
26/04/2007;4;8,3;0;32,4;24,8;19;68,75;44;0
27/04/2007;4;2,5;0,5;28;22,4;21;90,75;76;3,766667
28/04/2007;4;0,4;1,2;21,4;18,82;17,5;87,25;82;2,066667
29/04/2007;2,3;3,9;0;25,8;20,42;16,5;81,25;56;1,633333
30/04/2007;3,6;3,5;0;26,4;20,4;16,6;84;66;1,2
01/05/2007;2,6;10;0;27,6;20,6;16,2;73,25;43;0,666667
02/05/2007;4,3;7,9;0;29;18,64;13;69,75;35;0,433333
03/05/2007;4;9,3;0;29;20,04;11;71,5;47;1,633333
04/05/2007;3,7;0,1;6,5;22,4;19,36;18;93,25;83;0,533333
05/05/2007;2,6;8,4;0;28;20,18;16,5;81;50;0
06/05/2007;3;9,8;0;29,2;19,12;13;78,75;41;0,533333
07/05/2007;3,7;9,6;0;29,6;21,52;13,6;64;39;0,666667
08/05/2007;4,7;8,1;0;30,8;22,22;15,1;76,25;42;1
09/05/2007;4,3;0;1,6;22,4;18,52;19,6;84,25;87;5,776653
10/05/2007;3,4;2,9;0;21;15,48;11;88;78;1,866667
11/05/2007;2,6;9,8;0;24,2;17,8;13,2;69,75;46;1,933333
12/05/2007;5,2;9,9;0;27,2;19,16;12;73,5;43;0,433333
13/05/2007;3,2;6,8;0;26,4;19,16;14;80,5;56;1,066667
14/05/2007;3,4;2,4;0;25,2;19,64;16;86,75;71;0
15/05/2007;1,9;4,7;0;26,2;21,2;17,8;78;64;2,3
16/05/2007;3,2;6,9;0;29;21,04;19;82,5;56;1,066667
17/05/2007;3;7,3;0;31;20,88;13,8;77,5;41;0
18/05/2007;3,3;6,1;0;30,8;21,56;15,8;79;41;1,766667
19/05/2007;3,4;4,5;19;26,6;20,72;18,6;89,75;65;0,433333
20/05/2007;1,8;1,2;15,2;23,2;19,92;18,6;88,75;81;2,466667
21/05/2007;2;6,2;0;28,2;21,16;17,6;81;51;0,666667
22/05/2007;2,8;1,3;0;25;19,38;16,5;89;68;1,2
23/05/2007;1,4;0;7,4;20,2;17,8;17,2;94,75;88;1,966667
24/05/2007;1,6;2,5;5,9;20,4;16,72;16;79,75;59;1,866667
25/05/2007;5,8;10;0;22,2;15,3;10,1;68,25;42;1,266667
26/05/2007;4,4;9,8;0;24,2;15,88;11,8;78,25;42;0,533333
27/05/2007;4,2;3,7;0;20,8;14,96;10,2;94,25;89;0,433333
28/05/2007;1,4;6,7;1;24,6;17;12;81;48;0,433333
29/05/2007;3,1;6,7;0;24;18,34;15,1;78;54;4,076653
30/05/2007;5,5;0,5;1,7;17,7;13,92;12,5;75,5;61;2,766667
31/05/2007;4;4,8;0;20;14,34;8,5;77,25;58;1,633693
01/06/2007;3,8;8,5;0;25,4;16,66;10,5;81,5;51;0
02/06/2007;2,8;0,3;1;22,2;17,28;13,2;90,25;75;1
03/06/2007;1,2;0;3,6;20;18,08;16;85;86;2,876653
04/06/2007;2,8;10,1;1;22;15,42;11,5;65;34;0
05/06/2007;4,6;7;0;22,4;12,6;6,8;77,5;42;0
06/06/2007;3;7,2;0;24,4;14,08;8;76;38;0
07/06/2007;3,8;9,3;0;26,4;16,6;8,8;74,25;40;0
08/06/2007;3,8;7,4;0;28,8;18,08;11,6;74,25;41;0
09/06/2007;3,6;5,8;0;27,8;19,72;13;78;48;0,433333
10/06/2007;2,8;5,7;0;29;19,68;15,4;74;37;0
11/06/2007;3;7,5;0;28;18,48;12,4;79,75;43;0,666667
12/06/2007;3,3;7,8;0;28,2;18,52;12,2;72;38;0
13/06/2007;3,9;7,6;0;27,8;16,96;11;71;35;0
14/06/2007;4,4;9;0;29,6;17,94;10,1;74,75;32;0
15/06/2007;3,7;9,1;0;29,4;17,64;10,2;72,75;37;0
16/06/2007;3,6;8,3;0;28,4;19,44;12;76,25;47;2,2
17/06/2007;4,7;4,6;0;26,8;20,4;17;81;57;0
18/06/2007;2,5;7,2;0;28,2;19,2;13;82,5;54;0
19/06/2007;3,3;8,8;0;27,4;20,16;15,6;83;50;2,047773
20/06/2007;5,7;8,7;0;27,2;18,04;14,4;85;51;0,433333
21/06/2007;4,3;9,8;0;27,4;16,56;9;83,75;47;0
22/06/2007;3,7;8,5;0;26,8;16,88;10,6;85;53;0,433333
23/06/2007;3;7,4;0;27,6;16,42;10,1;80;46;0,433333
24/06/2007;3,5;8,6;0;28,2;18,18;10,1;74,75;39;1,666667
25/06/2007;5,3;7,4;0;23,8;18,66;13,5;87,75;75;1,766667
26/06/2007;3,2;7,7;0;27;19,08;16,4;84,5;56;0,833333
27/06/2007;4,3;3,1;0;24,4;17,44;11;77,75;51;0,433333
28/06/2007;2,3;6,2;0;27,6;18,28;12;83,25;49;0,833333
29/06/2007;3,6;4,3;0,3;24,6;19,16;17;89,5;74;1,633693
30/06/2007;3,3;8,6;0;27;20,12;16,2;85,5;56;1,3
01/07/2007;4;7;0;25,4;18,38;15,1;83;52;0,766667
02/07/2007;4;7;0;24,4;18,24;16;85,75;61;0,433333
03/07/2007;3,5;5,1;0;23,4;17,16;14;87,25;63;0
04/07/2007;2,7;7,5;0;27;16,56;9,8;77,5;46;0,533333
05/07/2007;3,8;9,5;0;27,8;17,34;10,1;81,75;42;0,533333
06/07/2007;4;8,3;0;28,8;18,36;11;76,25;43;0
07/07/2007;4;9,8;0;28,4;17,68;11;81,25;44;0,433333
08/07/2007;4;9,9;0;28,8;17,7;10,1;71,75;42;1,1
09/07/2007;5,1;9,5;0;29,4;18,04;10,6;74,25;33;1,2
10/07/2007;5,3;9,3;0;29,2;18,4;11;67;30;0
11/07/2007;4,7;6,8;0;27,2;18,48;12;72,75;56;2,833333
12/07/2007;5,4;2,2;0;22,2;18,2;17;80,5;62;2,066667
13/07/2007;3,2;5,9;0;26,8;19,12;16,6;75,25;45;1,2
14/07/2007;3,3;8,8;0;29,4;18,64;12,4;66,75;29;0,866667
15/07/2007;4,6;5,1;0;28,2;19,12;13;72,25;38;1
16/07/2007;5;2,9;0;24;18,48;15,2;80;69;1,333333
17/07/2007;3;1,7;8,6;22,8;18,52;15,6;81,75;63;0,666667
18/07/2007;2,5;1,1;3,3;21,4;18,22;15,3;81,5;78;1,7148
19/07/2007;2,5;8;0,2;23,4;15,64;11;74,5;34;0,766667
20/07/2007;3,8;6,5;0;24,4;16,68;14;73;44;0
21/07/2007;3,2;8,7;0;27,6;16,84;8,2;69,25;35;0
22/07/2007;4;9,7;0;31,2;20,72;10,6;56,5;33;0,51444
23/07/2007;6,4;3,1;0;27,8;20,66;15,1;75,25;52;1,8
24/07/2007;3,6;0;4,2;20,2;18,32;17,4;93,75;87;1,20036
25/07/2007;1,1;0,2;24,8;22,4;19,44;17;90,5;79;0,666667
26/07/2007;1,7;0;0,8;19,9;15,46;14,8;81,75;74;2,733333
27/07/2007;3;0;0;14,4;13,12;11,6;97;83;0
28/07/2007;0,5;0;0,9;18;14,2;12;93;80;0,666667
29/07/2007;2,2;0;1,3;15,6;12,4;11,8;73,5;64;3,366667
30/07/2007;2,7;6,3;0;18,8;12,6;8;75;44;1,390733
31/07/2007;4,1;9,4;0;22,8;13,28;5;73,75;43;0,8574
01/08/2007;4;9,8;0;25,6;15,92;8;71,75;39;0,433333
02/08/2007;3,8;9,6;0;28;17,46;10,1;71,25;35;0
03/08/2007;4;9,5;0;26,6;17,42;10,1;69,75;36;0,533333
04/08/2007;4,5;7,8;0;27;18,2;13;71,75;38;0,433333
05/08/2007;3,7;8,6;0;22,8;17,16;11;76,75;59;2,333333
06/08/2007;4,6;5,9;0;25,6;19,06;16,1;70,5;43;2,209987
07/08/2007;5,7;10,2;0;29,2;18,36;10,6;68,5;36;1,1
08/08/2007;4,8;9,4;0;28,4;18,44;11;70,5;40;1,866667
09/08/2007;5,2;6,5;0;27,6;19,28;14;72,5;42;0,966667
10/08/2007;4,1;9;0;28,8;19,52;13;67,75;41;0,766667
11/08/2007;4,6;7,8;0;29,4;19,16;12;69,25;30;1,633693
12/08/2007;6,8;2,9;0;24,6;18,78;16,7;78,5;58;1,533333
13/08/2007;4,2;8,4;0;27,2;20,12;16;70;36;0,766667
14/08/2007;5,3;9,9;0;28;19,86;12,5;56;34;2,766667
15/08/2007;9,4;10,7;0;28,4;19,32;13;60,75;33;1,666667
16/08/2007;7,7;10,4;0;28;18,5;10,5;62;30;0,533333
17/08/2007;5,9;9,8;0;27;17,76;10,8;72;34;2,2
18/08/2007;5,7;7,8;0;27,2;19,48;15,8;73;38;0,533333
19/08/2007;5,3;6,9;0;26;19,56;16;71,75;42;1,866667
20/08/2007;5,5;8,6;0;30,6;21,06;15,1;56,5;28;1,533333
21/08/2007;6,9;3,7;0;23,6;18,44;17;78,25;55;2,766667
22/08/2007;4,6;4,4;0;25;18;14,8;78;50;2,266667
23/08/2007;3,5;6,1;0;28;19,44;14;67,5;44;0,533333
24/08/2007;4,3;10,2;0;31,4;20,24;10,8;55,5;26;0
25/08/2007;6,5;10,3;0;31,6;20,72;10,2;46;22;0,51444
26/08/2007;7,5;10,1;0;35,2;21,32;11,6;47,5;18;1,2
27/08/2007;8,6;8,1;0;33,6;20,68;12,8;67;23;1,7148
28/08/2007;7,5;1;0,8;24,6;19,36;17,8;81,5;61;2,533333
29/08/2007;4,5;0,8;0,2;22,6;18,46;15,1;83,75;69;3,067027
30/08/2007;3;0;0,2;23,2;19,36;16,4;85,75;68;2,7
31/08/2007;2,6;7,9;0,7;27,6;20,72;16,6;71;44;2,8574
01/09/2007;6,9;9,2;0;31,4;22,42;14,5;60,75;34;0
02/09/2007;5,6;7,1;0;32,2;22,24;15,6;69,25;35;1,966667
03/09/2007;5,9;3,4;3,8;30,2;22,28;17,8;73,75;49;0,666667
04/09/2007;5,3;10;0;30,4;23,12;18;56,25;31;3,048133
05/09/2007;10,6;9,4;0;30,6;22,5;15,1;54,75;32;3,690733
06/09/2007;10,8;8,4;0;31,2;22,96;15,2;53,75;33;1,333333
07/09/2007;8,2;10,6;0;31;21,98;15,1;53,75;25;0,666667
08/09/2007;8,5;10,1;0;30,6;21,54;15,1;59,5;31;1,624067
09/09/2007;7,6;10,2;0;29,6;21,38;15,1;58,25;31;1,866667
10/09/2007;7,6;10,4;0;30,4;21,72;14,8;49,75;28;1,833333
11/09/2007;8,3;10,5;0;29,6;20,92;14;55,5;30;2,4
12/09/2007;8,8;9,6;0;28,4;21,28;14,8;48,75;33;2,662573
13/09/2007;8,7;10,3;0;30,6;22,14;15,1;50,75;29;3,033333
14/09/2007;10;10,4;0;31,2;21,32;13,6;52,75;26;0,766667
15/09/2007;8;9,4;0;33,6;22,8;13;46;21;0,666667
16/09/2007;10;9,8;0;33,2;21,44;14,8;61;19;1,766667
17/09/2007;9;5,7;0;27,8;20,42;15,1;66,75;40;3,766667
18/09/2007;7,6;4,4;0;26,8;19,68;16;68,5;45;3,2
19/09/2007;6,2;9,5;0;31,6;22,12;13;56;34;1,219253
20/09/2007;6,7;9,5;0;36,2;24,32;13;52,5;22;1,2
21/09/2007;9,4;7,8;0;32,6;24,28;18;59;35;2,166667
22/09/2007;7,4;7,6;0;33,8;25,4;18,8;52,5;32;1,51444
23/09/2007;8,8;8,9;0;36,2;25,28;17,8;45,5;22;0,866667
24/09/2007;9,4;3,5;0;32,2;22,52;16,8;65,5;52;4,433333
25/09/2007;7,4;0;0;19,9;16,5;14;66,5;62;2,190733
26/09/2007;4,5;0;0;21,4;17,28;14;64,75;49;1,833333
27/09/2007;5,2;8,6;0;29,4;22,08;13,4;51,25;38;4,966667
28/09/2007;8,7;5;0;31;21,44;15,6;72,75;45;1,633333
29/09/2007;4,6;1,9;21;26,2;20,28;17;78;67;2,533333
30/09/2007;4,5;0;0;21;18,48;16,8;71,5;66;2,4
01/10/2007;4,7;0,6;0;23,6;18,8;15,8;65,75;47;3,633333
02/10/2007;6,4;9;0;26,4;19,36;14;61,75;38;1,390733
03/10/2007;6,8;9,9;0;27,6;19,8;15,4;60,75;38;2,076653
04/10/2007;7,2;6,8;0;29,6;20,82;15,1;59,25;35;1,933333
05/10/2007;7;9,9;0;31,4;22,16;14,6;54,5;30;1,8
06/10/2007;7,6;8,3;0;32,8;24,04;15,4;49,5;29;1,2
07/10/2007;7,4;7,9;0;34;24,24;16,8;53;29;1,633333
08/10/2007;8,5;4,1;0;29;21,92;17,8;70,75;47;1,61444
09/10/2007;6,5;8,2;0;31,4;24,14;19,5;54,25;32;1,766667
10/10/2007;9,5;10,7;0;33,4;24,06;15,5;41,25;22;0
11/10/2007;9,8;10,6;0;34;23,64;14,6;50,5;21;2,033693
12/10/2007;11,3;10,5;0;36;25,16;16;42;17;0,533333
13/10/2007;10,8;4,4;0;35;26,8;17;44,5;27;0,766667
14/10/2007;10,2;2,7;0;32,2;24,44;20,4;68,75;49;1,9574
15/10/2007;6,2;2,8;0;31,2;23,76;20;74;48;1,533333
16/10/2007;5,3;8,3;0;36,2;27,24;19;50;29;0,533333
17/10/2007;9,5;9,5;0;37;25,96;20,6;62,5;38;3,4
18/10/2007;8,3;0;0;23;19,86;19,5;90;80;1,2
19/10/2007;2;0;0,8;22,2;19,16;17,2;93,75;86;1,4574
20/10/2007;1,2;8,5;5,6;33,6;23,76;17,6;68;33;1,433333
21/10/2007;5,7;10,1;0;36,6;25,76;19;62,5;30;3,466667
22/10/2007;8,4;2;7,5;27,6;21,92;19,2;84,25;61;2,338507
