Data Medicao;EVAPORACAO DO PICHE(mm);INSOLACAO TOTAL(h);PRECIPITACAO TOTAL(mm);TEMPERATURA MAXIMA(°C);TEMPERATURA MEDIA COMPENSADA(°C);TEMPERATURA MINIMA(°C);UMIDADE RELATIVA DO AR MEDIA (%);UMIDADE RELATIVA DO AR MINIMA (%);VENTO VELOCIDADE MEDIA (m/s)
21/03/2000;0,6;0;1,8;25,8;22,36;19;84,25;70;0,966667
22/03/2000;0,5;3;0;28,2;23,32;19,8;83,75;66;0,666667
23/03/2000;1,2;6,9;1;30;24,4;20;78,25;51;2,233333
24/03/2000;2,9;8,1;1;30,2;24,72;20;71,25;53;0
25/03/2000;2,8;7,2;0;30,2;23,88;19;80,75;54;1,533333
26/03/2000;2,1;2,6;30,4;27,4;23,44;20,2;84,5;63;1,533333
27/03/2000;1,6;5,3;10,1;30;24,64;20,2;77,25;56;0,766667
28/03/2000;1,8;2,3;0;28,6;22,88;20;88,5;65;0
29/03/2000;1,2;2,5;1,9;27;21,8;19,2;86,5;64;0
30/03/2000;1,4;0,4;10,1;26;21,88;19,6;94,5;87;2,033333
31/03/2000;1,1;1,6;26,5;27,4;22,24;20,2;89;72;2,3
01/04/2000;1,4;7,8;4,6;29;21,96;18,6;85,5;55;0
02/04/2000;1,9;2,9;5;26,4;21,68;19,4;89,25;78;2,7
03/04/2000;1,3;1,6;6,3;22;18,8;17,6;77,5;72;1,2
04/04/2000;1,7;9,3;0;24,4;19,76;16,4;74;49;1,533333
05/04/2000;3,5;4,5;0;25;20,84;18;80;55;2,2
06/04/2000;3,2;9,2;0;28,2;23,04;19;79;53;2,366667
07/04/2000;2,3;8,1;0;28,6;22,92;19,6;82,75;52;2,2
08/04/2000;3,2;8,5;0;29;23,88;19,2;75;52;0,766667
09/04/2000;3,4;6,5;0;29,4;23,84;19,8;81,75;58;1,4
10/04/2000;3;9,5;0;30;24,68;19,4;73,75;49;1,233333
11/04/2000;3,1;8,1;0;31,4;24,52;19;81,25;51;0
12/04/2000;2,3;7,3;13;31,8;23,16;19;87,5;54;0,533333
13/04/2000;2,4;6,3;21;31,4;24,44;19;75,5;54;1,066667
14/04/2000;2,5;7,2;0;30,6;24,52;20,2;83,5;57;0,933333
15/04/2000;2,3;5,3;2,9;29;23,72;20,6;84,5;60;0,766667
16/04/2000;2,4;4,4;0;27,4;22,32;19,2;79,5;63;1,866667
17/04/2000;3,1;0,8;0;24;21,28;18,2;82;68;0,6
18/04/2000;2,1;5,5;0;27;22,16;19;82;65;0,533333
19/04/2000;1,7;0,1;0;23,2;21,68;19,6;99,5;84;0
20/04/2000;0,5;9,8;11;29,8;22,92;20;85,25;54;2,033333
21/04/2000;2,5;10,6;0;25,4;19,44;15;73;41;2,066667
22/04/2000;4,3;10,4;0;25;19,88;14,8;72,5;47;1,3
23/04/2000;3,6;6,3;0;24;18,92;15;80,25;55;0,533333
24/04/2000;2,9;9,5;0;26,8;19,56;14;72;46;0,666667
25/04/2000;2,5;7,1;0;26;18,6;12,8;77,75;45;1,133333
26/04/2000;2,8;8,8;0;26;19,88;14;72;50;1,3
27/04/2000;2,6;9,8;0;27;19,2;12;72,75;41;0,533333
